,#,sex,item name,about,details,sizes,"price, $",colour,image_name,,
outwear,LV23001,men,Monogram Camo Fleece Jacket,The high-tech fleece jacket features an original Monogram Camo pattern.,"55% polyester, 45% wool"," s, m, l, xl",,green,Monogram Camo Fleece Jacket 1.PNG Monogram Camo Fleece Jacket 2.PNG Monogram Camo Fleece Jacket 3.PNG Monogram Camo Fleece Jacket 4.PNG,,
outwear,LV23002,men,Monogram Camo Jacquard Fleece Jacket,The stylish jacket embodies a new interpretation of the legendary symbol of the House.,"87% polyester, 13% wool
A color scheme
Loose fit"," s, m, l, xl",,multicolor,Monogram Camo Jacquard Fleece Jacket 1.PNG Monogram Camo Jacquard Fleece Jacket 2.PNG Monogram Camo Jacquard Fleece Jacket 3.PNG Monogram Camo Jacquard Fleece Jacket 4.PNG,,
outwear,LV23003,men,Snow down jacket with Vuitton pattern,A high-tech down jacket with a water-repellent effect is a stylish and practical piece of clothing.,100% Polyester Black color Loose fit," s, m, l, xl",,black,,,
outwear,LV23004,men,Padded hooded denim jacket,A hooded denim jacket with a bold graphic design in a trekking style. ,100% cotton light brown color Standard Fit," s, m, l, xl",,brown,Padded hooded denim jacket 1.PNG Padded hooded denim jacket 2.PNG Padded hooded denim jacket 3.PNG Padded hooded denim jacket 4.PNG,,
outwear,LV23005,men,Monogram Gradient Mesh Jacket,"
The graphic design of this classic-cut jacket is a tribute to the iconic Monogram pattern with a contemporary twist.",100% Polyester Dark blue color Classic fit," s, m, l, xl",,blue,Monogram Gradient Mesh Jacket 1.PNG Monogram Gradient Mesh Jacket 2.PNG Monogram Gradient Mesh Jacket 3.PNG Monogram Gradient Mesh Jacket 4.PNG,,
outwear,LV23006,men,LV Spray Denim Jacket,The denim jacket features a contrasting combination of bright green LV Spray graphics with a Tie & Dye effect and a white Monogram pattern.,100% cotton A color scheme Loose fit," s, m, l, xl",,white,,,
outwear,LV23007,men,Destroyed utility denim jacket,The unique design of the utilitarian denim jacket combines tradition of impeccable craftsmanship with a contemporary deconstructivist aesthetic.,100% cotton Indigo Standard Fit," s, m, l, xl",,blue,Destroyed utility denim jacket 1.PNG Destroyed utility denim jacket 2.PNG Destroyed utility denim jacket 3.PNG,,
outwear,LV23008,men,Velvet windbreaker with innovative trim,The unique design of the utilitarian denim jacket combines tradition of impeccable craftsmanship with a contemporary deconstructivist aesthetic.,100% cotton Dark green color Loose fit," s, m, l, xl",,green,,,
outwear,LV23009,men,LV Graffiti zipped bomber jacket,Monogram jacquard adds an elegant touch to the bomber jacket's striking design.,100% cotton Combination of black and gray Standard Fit," s, m, l, xl",,black,LV Graffiti zipped bomber jacket 1.PNG LV Graffiti zipped bomber jacket 2.PNG LV Graffiti zipped bomber jacket 3.PNG LV Graffiti zipped bomber jacket 4.PNG,,
outwear,LV23010,men,Monogram embossed wool and leather jacket,A classic varsity jacket made from sustainable wool.,"50% calfskin, 50% wool Black color Standard Fit"," s, m, l, xl",,black,Monogram embossed wool and leather jacket 1.PNG Monogram embossed wool and leather jacket 2.PNG Monogram embossed wool and leather jacket 3.PNG Monogram embossed wool and leather jacket 4.PNG,,
outwear,LV23011,men,Varsity jacket in leather and wool with appliqués,The trendy Varsity jacket is crafted from LWG-certified wool and grained calfskin.,100% calfskin Certification LWG Milky white color Loose fit," s, m, l, xl",,white,Varsity jacket in leather and wool with appliqués 1.PNG Varsity jacket in leather and wool with appliqués 2.PNG Varsity jacket in leather and wool with appliqués 3.PNG Varsity jacket in leather and wool with appliqués 4.PNG,,
outwear,LV23012,men,Varsity jacket in leather and wool with appliqués,The new Varsity Wool Jacket features LWG-certified grained calfskin contrast sleeves.,100% calfskin Certification LWG Purple Loose fit," s, m, l, xl",,purple,Varsity jacket in leather and wool with appliquéss 1.PNG Varsity jacket in leather and wool with appliquéss 2.PNG Varsity jacket in leather and wool with appliquéss 3.PNG Varsity jacket in leather and wool with appliquéss 4.PNG,,
outwear,LV23013,men,Bomber jacket in leather and textile,The striking bomber jacket features a combination of yellow leather and black cotton.,"50% calfskin, 50% cotton yellow-orange color Loose fit"," s, m, l, xl",,black yellow,Bomber jacket in leather and textile 1.PNG Bomber jacket in leather and textile 2.PNG Bomber jacket in leather and textile 3.PNG,,
outwear,LV23014,men,Leather Stadium Jacket,A motorsport-inspired zip-up jacket in a unique color scheme. Light blue cowhide,100% cowhide Certification LWG Black brown Standard Fit," s, m, l, xl",,black,Куртка Stadium из кожи 4.PNG Куртка Stadium из кожи 2.PNG Куртка Stadium из кожи 3.PNG Куртка Stadium из кожи 4.PNG,,
outwear,LV23015,men,Sports jacket,"he striking jacket features a bold hybrid design, crafted from wool suiting for a sporty, contemporary style.",100% wool Grey colour checkered pattern Standard Fit," s, m, l, xl",,gray,Sports jacket 1.PNG Sports jacket 2.PNG Sports jacket 3.PNG,,
outwear,LV23016,men,Sports jacket,"Crafted from high-tech material, this regular-fit jacket is a bold take on a classic athletic style.",100% polyamide Bright blue color Standard Fit," s, m, l, xl",,,,,
outwear,LV23017,men,Padded jacket with Monogram pattern,"A quilted take on the iconic Monogram pattern, this insulated jacket is crafted from high-tech fabric with a matte finish.",100% polyamide Black," s, m, l, xl",,,,,
